end,val,accn,fy,fp,form,filed,start,frame
2007-09-29,3496000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,2006-10-01,
2007-09-29,3495000000,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,2006-10-01,CY2007
2008-06-28,3698000000,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,2007-09-30,
2008-06-28,1072000000,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,2008-03-30,CY2008Q2
2008-09-27,4834000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,2007-09-30,
2008-09-27,6119000000,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,2007-09-30,
2008-09-27,6119000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2007-09-30,CY2008
2008-12-27,2255000000,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,2008-09-28,
2008-12-27,2255000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2008-09-28,CY2008Q4
2009-03-28,3875000000,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,2008-09-28,
2009-03-28,1620000000,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,2008-12-28,
2009-03-28,1620000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2008-12-28,CY2009Q1
2009-06-27,4039000000,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,2008-09-28,
2009-06-27,5703000000,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,2008-09-28,
2009-06-27,1229000000,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,2009-03-29,
2009-06-27,1828000000,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,2009-03-29,
2009-06-27,1828000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2009-03-29,CY2009Q2
2009-09-26,5704000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,2008-09-28,
2009-09-26,8235000000,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,2008-09-28,
2009-09-26,8235000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2008-09-28,
2009-09-26,8235000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2008-09-28,CY2009
2009-09-26,2532000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2009-06-28,CY2009Q3
2009-12-26,3378000000,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,2009-09-27,
2009-12-26,3378000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2009-09-27,
2009-12-26,3378000000,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,2009-09-27,
2009-12-26,3378000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2009-09-27,CY2009Q4
2010-03-27,6452000000,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,2009-09-27,
2010-03-27,6452000000,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,2009-09-27,
2010-03-27,3074000000,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,2009-12-27,
2010-03-27,3074000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2009-12-27,
2010-03-27,3074000000,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,2009-12-27,
2010-03-27,3074000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2009-12-27,CY2010Q1
2010-06-26,9705000000,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,2009-09-27,
2010-06-26,9705000000,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,2009-09-27,
2010-06-26,3253000000,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,2010-03-28,
2010-06-26,3253000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2010-03-28,
2010-06-26,3253000000,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,2010-03-28,
2010-06-26,3253000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2010-03-28,CY2010Q2
2010-09-25,14013000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2009-09-27,
2010-09-25,14013000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2009-09-27,
2010-09-25,14013000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,2009-09-27,
2010-09-25,14013000000,0001193125-13-170623,2012,FY,8-K,2013-04-24,2009-09-27,CY2010
2010-09-25,4308000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,2010-06-27,
2010-09-25,4308000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2010-06-27,CY2010Q3
2010-12-25,6004000000,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,2010-09-26,
2010-12-25,6004000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2010-09-26,
2010-12-25,6004000000,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,2010-09-26,
2010-12-25,6004000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,2010-09-26,
2010-12-25,6004000000,0001193125-13-170623,2012,FY,8-K,2013-04-24,2010-09-26,CY2010Q4
2011-03-26,11991000000,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,2010-09-26,
2011-03-26,11991000000,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,2010-09-26,
2011-03-26,5987000000,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,2010-12-26,
2011-03-26,5987000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,2010-12-26,
2011-03-26,5987000000,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,2010-12-26,
